"question_id","task","method","verdict","expected","j1"
"0","Distribution Compliance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Anderson-Darling Test","NOT_APPLICABLE","APPLICABLE","wrong"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","APPLICABLE","wrong"
"0","Distribution Compliance Test","Lilliefors Test","NOT_APPLICABLE","APPLICABLE","wrong"
"0","Distribution Compliance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"0","Distribution Compliance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Spearman Correlation Coefficient","APPLICABLE","NOT_APPLICABLE","wrong"
"1","Variance Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"1","Variance Test","Mood Variance Test","NOT_APPLICABLE","APPLICABLE","wrong"
