"question_id","copen_n","main_n","intersection","union","jaccard","copen_set","main_set","parse_status"
"0","3","10","3","10","0.3","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Mean; Median; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"1","1","2","1","2","0.5","Levene Test","Levene Test; Skewness","json_ok"
"2","3","9","3","9","0.333","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Mean; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"3","3","9","3","9","0.333","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Median; Shapiro-Wilk Test of Normality; Skewness; Spearman Correlation Coefficient","json_ok"
"4","3","10","3","10","0.3","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Mean; Median; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"5","3","3","1","5","0.2","Bartlett Test; F-Test for Variance; Levene Test","Levene Test; Skewness; Spearman Correlation Coefficient","json_ok"
"6","16","7","6","17","0.353","Anderson-Darling Test; Bartlett Test; F-Test for Variance; Kolmogorov-Smirnov Test for Normality; Kurtosis; Levene Test; Lilliefors Test; Mean; Median; Mode; Mood Variance Test; Quartile; Range; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","Anderson-Darling Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Median; Shapiro-Wilk Test of Normality; Skewness; Spearman Correlation Coefficient","json_ok"
"7","3","5","1","7","0.143","Bartlett Test; F-Test for Variance; Levene Test","Levene Test; Median; Skewness; Spearman Correlation Coefficient; Standard Deviation","json_ok"
"8","16","3","3","16","0.188","Anderson-Darling Test; Bartlett Test; F-Test for Variance; Kolmogorov-Smirnov Test; Kurtosis; Levene Test; Lilliefors Test; Mean; Median; Mode; Mood Variance Test; Quartile; Range; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","Kolmogorov-Smirnov Test; Median; Skewness","json_ok"
"9","3","9","3","9","0.333","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Median; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"10","3","8","1","10","0.1","Bartlett Test; F-Test for Variance; Levene Test","Kurtosis; Levene Test; Mean; Median; Range; Skewness; Spearman Correlation Coefficient; Standard Deviation","json_ok"
"11","3","8","3","8","0.375","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Median; Shapiro-Wilk Test of Normality; Skewness","json_ok"
"12","4","9","4","9","0.444","Anderson-Darling Test; Kolmogorov-Smirnov Test; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Lilliefors Test; Median; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"13","2","1","1","2","0.5","Chi-square Independence Test; Fisher Exact Test","Chi-square Independence Test","json_ok"
"14","3","13","3","13","0.231","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Bartlett Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Levene Test; Lilliefors Test; Mean; Median; Pearson Correlation Coefficient; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"15","3","2","2","3","0.667","Chi-square Independence Test; Fisher Exact Test; Mantel-Haenszel Test","Chi-square Independence Test; Fisher Exact Test","json_ok"
"16","3","8","2","9","0.222","Kolmogorov-Smirnov Test for Normality; Lilliefors Test; Shapiro-Wilk Test of Normality","Anderson-Darling Test; Kurtosis; Lilliefors Test; Mean; Median; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"17","2","1","1","2","0.5","Chi-square Independence Test; Fisher Exact Test","Chi-square Independence Test","json_ok"
"18","2","1","1","2","0.5","Chi-square Independence Test; Fisher Exact Test","Chi-square Independence Test","json_ok"
"19","2","2","0","4","0.0","Bartlett Test; Levene Test","Median; Skewness","json_ok"
