"question_id","task","difficulty","method","verdict","expected","j1","parse_reason","ground_truth_methods"
"0","Distribution Compliance Test","hard","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Anderson-Darling Test","APPLICABLE","APPLICABLE","correct","head:\bAPPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Shapiro-Wilk Test of Normality","APPLICABLE","NOT_APPLICABLE","wrong","head:\bAPPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kolmogorov-Smirnov Test for Normality","APPLICABLE","APPLICABLE","correct","head:\bAPPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Lilliefors Test","APPLICABLE","APPLICABLE","correct","head:\bAPPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kolmogorov-Smirnov Test","APPLICABLE","NOT_APPLICABLE","wrong","head:\bAPPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
"0","Distribution Compliance Test","hard","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct","head:\bNOT\s+APPLICABLE\b","['Anderson-Darling Test', 'Kolmogorov-Smirnov Test for Normality', 'Lilliefors Test']"
