row_id,task,difficulty,model,variant,valid,overall_correct,methods_correct,columns_correct,over_selection,under_selection,n_pred_methods,n_gt_methods,pred_methods,gt_methods,ssc,drop_rate,add_rate_in,add_rate_out,label_clarity_auto,verdicts,selfcheck_changed
0,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
1,Variance Test,easy,14B,V4,1,0,0,1,0,1,2,4,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,1
2,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,0,8,1,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test|Kolmogorov-Smirnov Test for Uniform distribution|Kolmogorov-Smirnov Test for Gamma distribution|Kolmogorov-Smirnov Test for Exponential distribution,Kolmogorov-Smirnov Test,,,,,n/a,,0
3,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
4,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,8,3,Mean|Median|Mode|Range|Quartile|Standard Deviation|Skewness|Kurtosis,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,,,,,n/a,,1
5,Descriptive Statistics,easy,14B,V4,1,0,0,1,1,1,3,1,Mood Variance Test|Levene Test|Standard Deviation,Range,,,,,n/a,,1
6,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
7,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
8,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
9,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,3,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
