"method","response","D1_data_type","D2_sample_size","D3_assumptions","D4_exclusion","D5_discriminative","annotator_notes","run_idx","seed","model_id"
"Pearson Correlation Coefficient","- **Required Data Types for Input Variables:**
  - Both input variables must be continuous (interval or ratio level).

- **Sample Size Requirements:**
  - No strict minimum sample size is universally required, but generally, a sample size of at least 30 is recommended to ensure reliable estimates.

- **Key Statistical Assumptions:**
  - Linearity: The relationship between the two variables should be linear.
  - Normality: Both variables should be normally distributed, especially in smaller samples.
  - Homoscedasticity: The variance around the regression line is the same for all values of the predictor variable.
  - Independence: Observations must be independent of each other.

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the relationship between variables is non-linear.
  - When data contains significant outliers that can skew results.
  - When one or both variables are ordinal or nominal rather than continuous.
  - When the assumption of normality is severely violated in small samples.
  - When there is a clear violation of homoscedasticity.
  - When observations are not independent (e.g., repeated measures without proper adjustments).","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Spearman Correlation Coefficient","- **Required Data Types for Input Variables:**
  - Ordinal or continuous data.
  - Can handle ranked or non-normally distributed data.

- **Sample Size Requirements:**
  - No strict minimum sample size requirement.
  - Generally, a larger sample size improves the reliability of the correlation coefficient.

- **Key Statistical Assumptions:**
  - Monotonic relationship between the variables.
  - Observations are independent of each other.

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the relationship between variables is not monotonic.
  - For detecting linear relationships specifically, when Pearson's correlation might be more appropriate.
  - When dealing with nominal data, where other measures like Cramér's V would be more suitable.","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Kendall Correlation Coefficient","- **Required Data Types for Input Variables:**
  - Ordinal or continuous data types.

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but smaller samples may reduce the power of the test to detect significant correlations.

- **Key Statistical Assumptions:**
  - Observations must be independent.
  - There should be no outliers that heavily influence the results.

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the data contains a large number of tied ranks, as Kendall's tau can be less reliable in such cases.
  - When the relationship between variables is nonlinear, as Kendall's correlation measures only monotonic relationships.
  - When the primary interest is in detecting linear relationships, as other measures like Pearson's correlation might be more appropriate.
  - When the sample size is extremely small, potentially leading to unreliable estimates.
  - When the assumption of independence is violated, such as in time series data where observations are likely correlated over time.","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Partial Correlation Coefficient","- **Required Data Types for Input Variables:**
  - Continuous numerical data for all variables involved in the partial correlation calculation.

- **Sample Size Requirements:**
  - No strict minimum sample size is universally required, but generally, a larger sample size improves the reliability of the estimates. A common rule of thumb is to have at least 10 observations per variable being analyzed.

- **Key Statistical Assumptions:**
  - Linearity between the variables being considered.
  - Normality of the residuals when partial correlations are derived from regression models.
  - Independence of observations.
  - Homoscedasticity (constant variance of errors).

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the relationship between variables is non-linear.
  - When there is significant multicollinearity among the predictor variables.
  - When the assumption of normality is severely violated and the sample size is small.
  - When the data contains a high proportion of outliers or influential cases that could distort the results.
  - When the assumption of independence of observations is violated (e.g., in time series data).","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Anderson-Darling Test","- **Required Data Type(s):**
  - Continuous numerical data

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but results may be unreliable with very small samples (typically less than 5). Generally, the test performs well with samples of at least 10 to 20 observations.

- **Key Statistical Assumptions:**
  - Independence of observations
  - The specific distribution against which the data is being tested (e.g., normal, uniform, exponential)

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the data contains significant outliers or heavy-tailed distributions, as these can distort the test's outcome.
  - For discrete data, as the Anderson-Darling test is designed for continuous distributions.
  - When the sample size is extremely small (less than 5), due to poor performance and unreliability of the test results.
  - If the underlying distribution is unknown or cannot be specified accurately.","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Shapiro-Wilk Test of Normality","- **Required Data Type(s):**
  - Continuous numerical data

- **Sample Size Requirements:**
  - Typically ranges from 3 to 5000 observations, with optimal power in the range of 5 to 100 samples.

- **Key Statistical Assumptions:**
  - Independence of observations
  - The test assumes the data is a random sample

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the sample size is outside the recommended range (less than 3 or more than 5000)
  - For heavily tied data (discrete data with many repeated values), as the Shapiro-Wilk test is designed for continuous data
  - When the assumption of independence is violated
  - For very small samples where the test may lack power to detect deviations from normality
  - In cases where the data distribution is known to be non-normal and the test is not needed","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Kolmogorov-Smirnov Test for Normality","- **Required Data Type(s):**
  - Continuous numerical data

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but the test's power increases with larger samples. Generally, the test is considered reliable for sample sizes of at least 50.

- **Key Statistical Assumptions:**
  - Independence of observations
  - The data should represent a random sample from the population

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the sample size is very small (less than 5), the test may lack sufficient power to detect deviations from normality.
  - When the data contain significant outliers or heavy-tailed distributions, as the test is sensitive to these conditions.
  - When the data are discrete or categorical, as the Kolmogorov-Smirnov test is designed for continuous distributions.
  - When the underlying distribution is known to deviate significantly from normality, and an alternative goodness-of-fit test more suited to the specific distribution is available.","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Lilliefors Test","- **Required Data Type(s):**
  - Continuous numerical data

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but results may be unreliable with very small samples (typically less than 50).

- **Key Statistical Assumptions:**
  - The data should be independent.
  - The test assumes that the data come from a continuous distribution.

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the sample size is extremely small (less than 50), as the test's accuracy and power may be compromised.
  - When the data are not continuous or are heavily discrete, as the Lilliefors test is designed for continuous distributions.
  - When the data do not meet the assumption of independence.","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Kolmogorov-Smirnov Test","- **Required Data Type(s):**
  - Continuous numerical data.

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but the test's power increases with larger samples. Small sample sizes may limit the test's ability to detect differences.

- **Key Statistical Assumptions:**
  - Independence of observations.
  - The test does not assume normality or equal variances.

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the data contains ties (exact duplicates), especially in small samples, as it can affect the accuracy of the test.
  - When the sample size is extremely small, as the test may lack sufficient power to detect meaningful differences.
  - When the data is ordinal rather than continuous, although there is a version of the test for discrete distributions.
  - When the underlying distribution is known to be significantly non-continuous (e.g., binary data).","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
"Kolmogorov-Smirnov Test for Uniform distribution","- **Required Data Type(s):**
  - Continuous numerical data

- **Sample Size Requirements:**
  - No strict minimum sample size is required, but the test's power increases with larger samples.

- **Key Statistical Assumptions:**
  - The data must be independent and identically distributed (i.i.d.)
  - The null hypothesis assumes that the data follows a uniform distribution over a specified interval

- **Conditions Under Which This Method Should NOT Be Used:**
  - When the data does not meet the assumption of being i.i.d.
  - When the sample size is extremely small, as the test may lack sufficient power to detect deviations from the uniform distribution
  - When the underlying distribution is known to deviate significantly from uniformity and such deviation is expected or desired
  - When the data contains significant outliers or heavy-tailed distributions, as these can distort the results of the test","","","","","","","0","42","/rds/general/user/yx3422/home/qwen2.5-14b"
